,Document,ClusterLabel
0,聚力·焕新，耀视界。2022#微博视界大会#，以“微博之力”汇聚剧综先锋力量。风起洛阳时，梦回神都日。11月29日，与我一起，向光而行，焕新出发，共赴美好生活！一起聊聊#剧综作品中你最敬仰的人物角色#吧！#风起洛阳#,10
1,#王一博百里弘毅# 恭喜风起洛阳王一博百里弘毅 登剧集人物角色提及量 百里弘毅这角色演绎得很出色 聪明绝顶 有勇有谋 做正确的事 不会武功还总是冲在最前方 @UNIQ-王一博 #风起洛阳# 丨 #微博剧综行业报告# 菲菲儿·YiBo的微博视频,12
2,角色单人cut/ #色链分享# 卿卿日常 色链✘18 预览如下，只试了#卿卿日常# 和#风起洛阳# 两部剧，其他未知，感觉都挺通用 三连带截图和色链名，缺一不发 晚上统一发，还没想好色链名，勿催 xz一切粉丝勿扰,4
3,张俪 张俪｜风起洛阳｜窈娘 “骄傲的人连拭泪都是带着一股傲气” 歌排感谢：他的愿都实现了吗 #张俪##风起洛阳##没想到你是这样的张俪# kronosvency_的微博视频,9
4,#青年演员王一博# 💚💚💚#王一博风起洛阳# 最近运气不咋滴，再来看看我们的百里弘毅大婚来沾沾喜气！这是我们王一博宝贝首部屏幕婚礼。大家吃好，喝好，玩好，不要太见外啊。恭贺百里家二郎与柳家七娘喜结连理！@UNIQ-王一博 #风起洛阳#   《风起洛阳》百里弘毅柳然大婚,12
5,"王一博💚#风起洛阳#💚#电影无名#

晚上好呀谢允，百里弘毅，蓝忘机！ 💚",8
6,二郎不要难过了#王一博##风起洛阳#王一博 藏进宇宙里li的微博视频,8
7,#风起洛阳# 看到第20集，因为七娘想弃剧，又因为没看到结局不死心，真是太难受了，为什么要有柳七娘这种膈应人的人设？？？,4
8,“不要碰她”“自与你成婚之后 你能懂我 琴瑟和鸣 我觉得很好”#风起洛阳##王一博##宋轶# 魔法水果糖的微博视频,14
9,"#风起洛阳#
我的窈娘，为什么是你。",4
10,黄轩的剧，看一眼，能追完不？#风起洛阳#,6
11,"#风起洛阳# 好好看
起初因为百里二郎#王一博百里弘毅# 和柳七娘想看
可是探案剧，我又想放弃怕他俩的戏份少就放弃了
实际上他俩戏份一点也不少，每集都有哦
而且！！探案过程真的吸引人
而且第一集就能爱上，场景和滤镜都好好看，后悔这么快就看完了",4
12,最近追了：#民间怪谈录 ##昆仑神宫##促醒者##风起洛阳#,4
13,恭喜#风起洛阳# ，恭喜我的时代和我2，恭喜#余生请多指教# ，恭喜#王牌部队# ，恭喜#这就是街舞# ，恭喜#王一博# 恭喜#肖战#,4
14,"博君一肖
我不管 就是同台了 采访一下肖战坐在台下看风起洛阳的心情#博君一肖##风起洛阳#",4
15,#风起洛阳#同台了同台了,4
16,想看#风起洛阳# 了，想念#王一博百里弘毅# 百里二郎，98一年我冲不冲呢？,8
17,王一博#风起洛阳# 喜欢王一博演的沉稳睿智的理工男百里弘毅！剧情紧凑荡气回肠，不愧是良心好剧！@UNIQ-王一博 #王一博#,12
18,挺好看的呀，我怎么现在才发现这剧🙃#风起洛阳#,4
19,#风起洛阳# 不良井人住在神都阴暗潮湿的下水道井下。终身不得踏出不良井半步，生老病死都在这井下，官家和圣人知道有“不良井”这个地方，但永远也不会踏入不良井半步，更不会把这帮下等人出生的反骨仔放出来。,6
20,不想上班 想去大唐和高秉竹一起查案#风起洛阳#,4
21,有妻如此，夫复何求呀，七娘跟二郎甜甜甜#风起洛阳##王一博##宋轶# 魔法水果糖的微博视频,14
22,"#风起洛阳#·#台词分享打卡#

“我凭什么相信你？！”

#王一博百里弘毅#|#王一博风起洛阳#",12
23,"#王一博百里弘毅#

恭喜风起洛阳王一博百里弘毅
登剧集人物角色提及量
百里弘毅这角色演绎得很出色
聪明绝顶 有勇有谋 做正确的事
不会武功还总是冲在最前方
@UNIQ-王一博

#风起洛阳# 丨
#微博剧综行业报告# 菲菲儿·YiBo的微博视频",12
24,"#王一博风起洛阳# 王一博 #王一博百里弘毅#
百里府的喵来啦！百里弘毅小公子最近好吗？想你了呢！@UNIQ-王一博
#王一博# 风起洛阳 #风起洛阳# wyb #青年演员王一博#
YIBO-OFFICIAL的微博视频",12
25,#追剧打卡#看完了风起洛阳，百里二郎和高秉烛的结局一个没有了阿爷，一个没有了阿娘，申非走了，武思月也没了，太刀了吧幸好二郎身边还有个七娘，但是高秉烛依旧是一个人#风起洛阳##黄轩#风起洛阳#王一博风起洛阳#,6
26,"我的男孩也太好看了吧

#风起洛阳# #王一博# 小八娱的微博视频",14
27,#剧综作品中你最敬仰的人物角色#百里弘毅#微博视界大会##王一博百里弘毅# @UNIQ-王一博 #风起洛阳# @风起洛阳官微,12
28,"王一博#王一博# wyb#风起洛阳#
风起洛阳危机重重，
和神都少年王一博百里弘毅一起探案
拨云见日",12
29,"#长安十二时辰##风起洛阳##御赐小仵作##唐朝诡事录#我看完的电视剧，居然都是唐朝，居然都是团体破案。

长安⭐⭐⭐⭐⭐结尾有点仓促，瑕不掩瑜。洛阳⭐⭐⭐☆男一号不应该去掉胡子。小仵作⭐⭐⭐总觉得差口气，不够大气，老演员演技很好。诡事录⭐⭐⭐剧情上有些漏洞。

这些剧都有一个问题，唐刀的刀锷、护手不是剧中（图5）这个样子的吧，道具组从网上买的吧？B站上有考据党，他们说这种刀锷、护手是日本的，不是唐朝的。",4
30,#风起洛阳#高秉烛也太惨了到最后还是孤身一人,6
31,#风起洛阳#这么好看的剧咋这么多人骂烂尾呢。最近几年看完的国产剧只有周生如故，庆余年，风起洛阳。,4
32,聚力·焕新，耀视界。2022#微博视界大会#，以“微博之力”汇聚剧综先锋力量。风起洛阳时，梦回神都日。11月29日，与我一起，向光而行，焕新出发，共赴美好生活！一起聊聊#剧综作品中你最敬仰的人物角色#吧！#风起洛阳#,10
33,王一博彻底掉进河南话里了，和黄轩飙方言狂笑场，笑点开关在这？#王一博##黄轩##风起洛阳#新浪娱乐 威海 小王娱乐c的微博视频,6
34,"#风起洛阳#

刚看完这部剧，我真的喜欢黄轩的演艺他演的非常非常好！看他哭就想哭，看他痛苦的样子自己就跟他痛苦了，尤其是最后一场高秉烛这个角色真的太可怜啊🥺

#黄轩##黄轩超话##黄轩风起洛阳#",6
35,二郎和七娘互表心意后，主动抱抱啦，反正我是又甜又酸啦~#风起洛阳##宋轶##王一博# 魔法水果糖的微博视频,14
36,最近接触的古装剧像#风起洛阳#就很好，至于什么#卿卿日常#恋爱糖水剧的外表包裹着毒药，21世纪了能不能少宣扬入了土的糟粕思想。,4
37,"#风起洛阳# 演技在线 智商在线 服化道绝美
收藏",4
38,谁都知道我爱你#冬天开始重温的第一部剧##一起老剧新看#风起洛阳#风起洛阳# 我的月下烛火！#谁都知道我爱你# 我的何其有幸！武思月和何笑然都是最温暖正义的存在！,4
39,#风起洛阳# 武思月这对be了不喜欢悲伤结局，喜欢大团圆,2
40,#风起洛阳##王一博##宋轶#风起洛阳的大婚真的绝美！！！ 追剧的憨憨子的微博视频,14
41,"张俪

张俪｜风起洛阳｜窈娘
“骄傲的人连拭泪都是带着一股傲气”

歌排感谢：他的愿都实现了吗
#张俪##风起洛阳##没想到你是这样的张俪# kronosvency_的微博视频",9
42,洛阳和钧瓷一样#收藏##手工##冷兵器##风起洛阳#网页链接,1
43,#风起洛阳# 国产剧只要不侧重于爱情，cp就一定be是吧,4
44,洛阳最值得去的十大绝美景点，你都去对了吗 #冬日的光与影# #迷人打卡地# #365天摄影计划# #洛阳# #风起洛阳# 绿洲 旅行的石头老师的微博视频,1
45,"#青年演员王一博# 💚💚💚#王一博风起洛阳#
最近运气不咋滴，再来看看我们的百里弘毅大婚来沾沾喜气！这是我们王一博宝贝首部屏幕婚礼。大家吃好，喝好，玩好，不要太见外啊。恭贺百里家二郎与柳家七娘喜结连理！@UNIQ-王一博
#风起洛阳#

《风起洛阳》百里弘毅柳然大婚",12
46,"风起洛阳#王一博# wyb#风起洛阳# wyb#王一博百里弘毅#

百里府的二公子，长相出众，才华横溢@UNIQ-王一博",12
47,二郎给七娘画了像#王一博风起洛阳##风起洛阳# 杠精女神的微博视频,14
48,"阿里巴巴财报、腾讯财报、爱奇艺财报上的#王一博# 作品💰💰💰💰💰💰
#这就是街舞##冰雨火##有翡##风起洛阳##金鹰奖#
安之若素寒鸦声的视频牛不牛？看财报-论王一博资源转化率",8
49,"风起洛阳 梦回大唐
#九洲池##风起洛阳# 洛阳·九洲池遗址",1
50,#风起洛阳# 大婚真的好美 !,4
51,"王一博！破碎感啵啵✅

如果在十八 我没能送你花💚@UNIQ-王一博

#王一博# w#王一博百里弘毅# y#风起洛阳# b🤪 #青年演员王一博# 琪琪睡不着ww的微博视频",12
52,"“衣食住行皆文化，细枝末节皆是礼”
这是由王一博主演的《风起洛阳》中的一句评论，其中大婚那段让人记忆尤深。
#青年演员王一博##风起洛阳# 快来吹泡泡呀的微博视频",8
53,七娘不光光只是可爱，更是拥有成长和担当！#风起洛阳# 泡芙卷小可爱的微博视频,14
54,强扭的瓜这是越来越甜了啊~二郎和七娘这小手手，越牵越自然了。#王一博##宋轶##风起洛阳# 魔法水果糖的微博视频,14
55,"他狂放阴郁，她赤诚明朗，她是他的上弦月，他是她的相思烛。
啊啊啊啊啊好会写！！
（后面不太好看，21年的时候看的）
#风起洛阳#",4
56,别看百里二郎对七娘不闻不问，其实心里还是在乎的 #风起洛阳# 爱古风的小迷妹的微博视频,10
57,重温武思月@宋茜 #风起洛阳#,2
58,"这一段我不知道刷了多少次
把这种抵触不知所措体现得很到位
放开二郎让我来
@UNIQ-王一博

#王一博百里弘毅# ·
#风起洛阳#

无敌小鼠彪·养乐多的微博视频",8
59,"#风起洛阳#
奶凶奶凶的七娘#宋轶演的柳然是什么神仙老婆##王一博百里弘毅# 爱吃手擀面yyds的微博视频",14
60,"二郎连被子都抢不赢肯定不会去挖野菜
#风起洛阳##金牌混剪##电视剧推荐##微博放映厅# 莎莎剪辑酱的微博视频",10
61,头像约稿 大唐男模 头像#照片转插画#头像约稿#唐朝诡事录##长歌行##风起洛阳##王一博百里弘毅##吴磊阿诗勒隼##卢凌风##皓都#,4
62,"#22年一部剧##风起洛阳#
还不错，这种题材的剧应该再多点，再卷点

弃了几个电影
共助2 狩猎
冥界警局2 罪证子弹2",4
63,#风起洛阳#二郎，我叫你一声二郎你敢应么！！！,10
64,"王一博|

#风起洛阳# |
#王一博百里弘毅# |

小百里开机两周年快乐！
小百里就是可爱的糯米团子！
@UNIQ-王一博 王一博#王一博#",12
65,"王一博|

#风起洛阳# |
#王一博百里弘毅# |

小百里开机两周年快乐！
小百里就是可爱的糯米团子！
@UNIQ-王一博 王一博#王一博#",12
66,“我相信滴水能穿石”二郎这木石心是被七娘叫化的#风起洛阳##王一博##宋轶# 魔法水果糖的微博视频,14
67,"角色单人cut/ #色链分享#
⭕xl太严重了，不分享了，除非你要给小百里产频

百里弘毅 第二组色链✘18

只试过#风起洛阳# 和#追光者# ，小百里色链进度46/85，晚上还有18条，终于要结束了，三连带截图和色链名，缺一不发，晚上统一发，勿催

xz一切粉丝勿扰",4
68,风起洛阳真是又好看又好哭 意难平#风起洛阳#,4
69,像柳然这样有魄力又识大体的女子，二郎娶到了她真是有福气！有了她的庇护，可以不怕任何人了！ #影视剪辑##风起洛阳# 故事终曲的微博视频,10
70,#风起洛阳 #有妻如此 夫妇何求呀 七娘跟二郎甜甜甜 唯美主义0091的微博视频,14
71,王一博除了会耍帅，还能有别的表情嘛？？？宋茜和宋轶让我脸盲，可惜了黄轩和咏梅……#风起洛阳#,6
72,"#风起洛阳##河南疫情#风起洛阳
洛阳市新冠肺炎疫情防控指挥部：“为适应疫情防控新形势，贯彻落实《关于进一步优化新冠肺炎疫情防控措施 科学精准做好防控工作的通知》，我市已经对核酸检测进行了调整，明确规定：即日起，除进入各级机关、学校、事业单位及需摘卸口罩的公共服务场所需出示48小时核酸检测阴性证明外，进入其他公共场所和乘坐公共交通工具不再查验48小时核酸检测阴性证明。",4
73,上次让我这么意难平还是陈情令#风起洛阳# 里面的每一个角色都好有魅力,4
74,#风起洛阳# 百里弘毅挺好一男的，可惜长了嘴，还会说话,4
75,"黄轩打戏也太帅了吧#风起洛阳#
😭😭😭😭😭😭😭😭😭😭😭",6
76,我决定开始追王一博演的#风起洛阳#,12
77,先婚后爱的设定真的很好嗑！二郎也在慢慢沦陷#风起洛阳##金牌混剪##微博放映厅# 莎莎剪辑酱的微博视频,10
78,#风起洛阳#刚刷完，不错的剧 晚安😴💤,4
79,#风起洛阳#🈶️电子剧本哦！！,4
80,"#风起洛阳#
某演技真的是。。男主父亲被刺，男主全程面瘫，呵呵",4
81,#风起洛阳#好好好好好好好好好好看爱了 昆明·云南民族大学(雨花校区),4
82,成化十四年请君风起洛阳 真意难平#成化十四年##请君##风起洛阳##汪苏泷无关和风起洛阳有关# 最近看的电视剧就只有唐朝诡实录双男主和双女主在一起了#唐朝诡事录#,4
83,#风起洛阳# 七娘太可爱了 ，二郎你就从了吧 影视集聚地的微博视频,14
84,#风起洛阳##王一博##宋轶##宋茜# 古代大户人家的婚礼场景，果然讲究！ 睿匀的妈妈的微博视频,10
85,#风起洛阳# 很不错，一口气追完。整体就是一个案件。谁是掌局人，谁是局中人。对洛阳各种汤描述的很接地气，唯一不足结局略显仓促。武思月为什么要死呢？青夜是不是高秉烛的妹妹呢？武攸决这个归藏凤有点牵强吧。二郎和七娘 现实中真的会爱上杀父仇人家的姑娘吗？,4
86,依甄涧雪 宋茜那个头套导演看不出来奇怪吗#风起洛阳#,2
87,#你知道办公室带饭也有礼仪吗# 【#跟着王一博学唐朝礼仪# 办公室遇到同事该怎么行叉手礼？】#风起洛阳# @UNIQ-王一博 饰演的百里弘毅行的叉手礼你学会了吗？叉手礼是唐朝一种日常相见礼，在现代生活中该怎么做？快来试试看！顶端新闻的微博视频,8
88,"都说七娘恋爱脑 可是二郎值得啊！

#风起洛阳# #宋轶# #王一博# #影视剪辑# 网页链接",14
89,"父母之爱子则为之计深远
#风起洛阳##王一博##百里弘毅# 迷惑鉴定完毕的微博视频",8
90,"看完了风起洛阳 真的比唐朝诡事录 差多了#风起洛阳##唐朝诡事录#
里面很多剧情好无语 柳7娘的作用就是一个小白吗 啥都不会 跟傻白甜似的 里面让走 不我不走
主角永远都打不过反派
一博看到新的案情都是自己去 如果不是主角应该死了很多次了吧 又不会武功也不懂带多一点的人或者留下线索 要不是主角真的死了一百次了 每次都是别人在找他 里面破案感情线又多
对比唐朝诡事录真的很好看 感情线又比较少 打戏都很棒 女主不拖后腿 人家让跑真的赶紧跑 又打不过没有武功的",4
91,"#风起洛阳#
/二 郎 开 始 乱 了⋯/其实二郎挺会的⋯ 考古电影院的微博视频",10
92,七娘不光只是可爱，更是拥有成长和担当#风起洛阳##王一博##宋轶# 剪影剧的微博视频,14
93,"宋茜#我们的翻译官##风起洛阳#
芜湖
看到这把雨伞🌂回忆满满
离武思月还有22天
梦回风起洛阳",2
94,#风起洛阳# 农为天下本，粮乃人间根，仓廪丰足，天下太平。,4
95,"#风起洛阳##王一博#

恋爱还得看别人谈才甜！二郎开窍之后，看她不高兴就哄她，还送她情书！ 不可错过的舞台的微博视频",14
96,#风起洛阳##武思月死了# 前面我就在想编剧安排柳十郎这条线的意义是什么 所以就是让阿月最后一集死掉是吗 第一次看剧女主死了的大结局给我哽住了,4
97,#风起洛阳#大家看完什么感觉 我觉得看到一半很压抑虽然拍摄制作都特别好（尤其景好美） 但是最后强撑着看下来的,4
98,"#风起洛阳# 打卡✔
所谓盛世大唐",4
99,月华君为什么要死！！！！意难平哭了#风起洛阳#电视剧风起洛阳风起洛阳,4
100,#王一博风起洛阳##风起洛阳# 这部剧里的有王一博和黄轩。,12
101,omg #风起洛阳#,4
102,#风起洛阳# 七娘不光光只是可爱，更是拥有成长和担当！ 食年河东食年河西的微博视频,14
103,#风起洛阳# 致各位idol们，咱用配音不可耻。,4
104,#感谢黄轩张俪的本月最佳对手戏# 群众的眼睛是雪亮的。高秉烛 窈娘极致BE美学 演技太稳了，从前从没有觉得张俪演技这么好 #风起洛阳#,9
105,#感谢黄轩张俪的本月最佳对手戏# 群众的眼睛是雪亮的。高秉烛 窈娘极致BE美学 演技太稳了，从前从没有觉得张俪演技这么好 #风起洛阳#,9
106,"每天都是美好的，虽然是阴天，但心中不能没有阳光，早！
#洛阳##洛阳品味软装##洛阳装修##风起洛阳##洛阳身边事#洛阳 洛阳·品味软装工作室",1
107,"#风起洛阳#
对于高秉烛来说太痛苦了，太虐了，最信任真心相对的七年老友，是找了这么多年的仇人，玻璃碴里还是玻璃碴，但是窈娘也很可怜，即便她是可恨之人，阿爷抛弃，命运不能掌握在自己手里，沦为s人工具…… 考古电影院的微博视频",10
108,迷上古装悬案剧 风起洛阳好好看！#风起洛阳#,4
109,#风起洛阳# 这剧去年出得我居然不知道。四天炫完，除了后半场高秉烛和武思月的感情戏有点磨叽以及回忆凑时长外，真的算好剧接下来看杨旭文#卢凌风# 17版好评的#射雕英雄传2017# 哈哈哈哈,4
110,#风起洛阳##宋轶##王一博# 七娘也是妥妥的恋爱脑.眼里心里全是她的二郎 睿匀的妈妈的微博视频,14
111,"#风起洛阳#
强扭的瓜超甜！七娘：“世 人 都 说 二 郎 不 通 人 情 ，二 郎 的 好 只 有 我 能 看 到 ，他 真 的 很 好 ”我想说：“七娘的眼光真好！” 考古电影院的微博视频",10
112,#风起洛阳# 这里才是正片开始 同时意味着月下烛火be的预示 你的目标就是瘦呀的微博视频,10
113,"#风起洛阳#
看了风起洛阳，我觉得圣人也不是好东西。",3
114,看完风吹，洛阳想来#风起洛阳##洛阳美食##古城##随手拍##记录生活#,1
115,"问:
1.电视剧《风起洛阳》是改编自马伯庸的原创故事，那么《风起洛阳之神机少年》也是改编自马伯庸的原创故事吗？
2.动画《风起洛阳之神机少年》是改编自漫画《风起洛阳之腐草为萤》吗？
3.漫画《风起洛阳之腐草为萤》是改编自马伯庸的原创故事吗？
马伯庸@马伯庸 #马伯庸##风起洛阳之神机少年# @风起洛阳之神机少年动画 #风起洛阳# @风起洛阳官微",2
116,"#风起洛阳##王一博##宋轶# ）""王一博 与""宋轶 （百柳夫妇）终于同床睡觉了！强扭的瓜就是最甜的！ 硕硕的仙女的微博视频",14
117,"#风起洛阳##武思月#
衣橱更新~武思月同款~☘️
衣服试穿~谢谢小🉑爱 @Y ~ 💗 云深海亦蓝的微博视频",10
118,"#风起洛阳##武思月# 同款蓝襦裙get√
谢谢小姐姐的指点 @_尔冉_ 💗",10
119,#风起洛阳# 宋茜造型师咋回事 做的头套又大又厚又高 不太贴脸,2
120,剧荒的时候，又想看风起洛阳了，百里弘毅快节奏、高智商破案太带感了，还有百里的各种随手武器的物理攻击，太爽了，我喜欢@UNIQ-王一博 #风起洛阳#风起洛阳,8
121,"#北辙南辕##风起洛阳##二十不惑2#
最近补上了这几年没看的几部剧 还不错～
剧情还行～快点上新剧吧！！没得看了",4
122,"王一博 宝宝们，咱们能不能来点人，小红/书刷刷“剧荒话题”“国产剧”……之类的话题，给求推荐剧的人回复互动推荐我们一博的《冰雨火》《风起洛阳》……最近疫情很多人居家追剧剧荒想追剧，最近韩剧tv好像也看不了剧很多人转国产了，所以咱们多点人去小红书好吗？个别人的力量是有限的，需要多点的人来。
小红/书的大数据系统是你对剧荒有过互动，就会自动多推荐的，但也不会影响刷一博的。真的需要人。
看到的啵丝顶顶我，让更多人知道好吗？我们一博是演员粉，后面还有电影，需要路人粉需要路人对演技的认可，一定要帮他多推剧！大家别忘了这块香菜地，快来哦！

（给大家看看部分正向反馈，只要做了绝对有意想不到的收获，哪怕一点点，相信人多力量大，星星之火亦可以燎原。）
#王一博# | #冰雨火# | #风起洛阳# | #有翡#",4
123,"先婚后爱真香！

#风起洛阳##宋轶##王一博##影视剪辑# 摸鱼观影社的微博视频",14
124,#风起洛阳#结局女主死了我真的太不理解了 太不理解了！！！！！！！！！！！！！！！！！！！就离谱！就毫不相关！,4
125,#风起洛阳# 这段好绝 你的目标就是瘦呀的微博视频,10
126,大家都去看风起洛阳吧#风起洛阳##王一博##宋轶#,13
127,#风起洛阳#宋轶这恋爱脑演的可太有那味了,10
128,"本不喜欢宋茜，但是月华君真的太可了。实在太喜欢。尤其和高秉烛看着人间烟火的时候，那个画面太美了。
#风起洛阳# #宋茜#",2
129,"父母之爱子则为之计深远
#风起洛阳# #王一博# 小八娱的微博视频",8
130,當女內衛遇上神秘的女殺手#風起洛陽#月華君#宋茜❤ 小慧082090的微博视频,10
131,悬疑剧里的人物，有智商低的吗？《#唐朝诡事录#》里的苏无名和卢凌风，都是高智商的人，《#风起洛阳#》亦是如此，高秉烛和百里弘毅的智商高到让人惊叹，而且个个身怀绝技。这年头，没点智商，都不好意思断案了。,4
132,#风起洛阳##唐朝诡事录# 还有啥好看的电视剧吗,4
133,"百里这孩子啊，天资聪颖，但是就是欠缺了点什么

#风起洛阳##王一博##宋轶# 摸鱼观影社的微博视频",14
134,"#风起洛阳#
百里弘毅和柳然真是两个纯情的宝宝。
柳然是女子不知道秦楼楚馆情有可原，可二郎作为男子，竟然也不知道，真是好笑又好感呢。 如梦夜续的微博视频",10
135,"百里终是遇见了一个满心满眼都是他的女孩子啊

#风起洛阳##宋轶# 摸鱼观影社的微博视频",14
136,盛世繁华#风起洛阳#,4
137,"🥝🥝🥝高分悬疑剧
强推！
风起洛阳❤️黄轩宋茜
唐朝诡事录❤️鸡师公陈创
拆案2思敏小姐姐
爱了爱了
#唐朝诡事录##风起洛阳##拆案##国产高分悬疑剧#",4
138,#风起洛阳# 追剧日常。镜头画面美但节奏慢，借着对几位主角的粉丝滤镜才看完的。反转到后来大家都知道谁是反派了。。,4
